	Лужская	СПбСМ	Высоцк	Новороссийск	Тамань	КраснодарС	Владивосток	Находка	ПерваяРечка	Кемерово	Междуреченск	Инская	ПермьСорт	Рыбное	Дема	ИркутскСорт
Лужская	0	157	311	0	0	0	0	0	0	0	0	0	0	0	0	0
СПбСМ	157	0	179	0	0	0	0	0	0	0	0	0	1691	1211	0	0
Высоцк	311	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Новороссийск	0	0	0	0	169	140	0	0	0	0	0	0	0	0	0	0
Тамань	0	0	0	169	0	211	0	0	0	0	0	0	0	0	0	0
КраснодарС	0	0	0	140	211	0	0	0	0	0	0	0	0	1330	2064	0
Владивосток	0	0	0	0	0	0	0	204	4	0	0	0	0	0	0	0
Находка	0	0	0	0	0	0	204	0	201	0	0	0	0	0	0	0
ПерваяРечка	0	0	0	0	0	0	4	201	0	0	0	0	0	0	0	4110
Кемерово	0	0	0	0	0	0	0	0	0	0	381	304	0	0	0	0
Междуреченск	0	0	0	0	0	0	0	0	0	381	0	496	0	0	0	0
Инская	0	0	0	0	0	0	0	0	0	304	496	0	1921	0	1926	1847
ПермьСорт	0	1691	0	0	0	0	0	0	0	0	0	1921	0	0	0	0
Рыбное	0	1211	0	0	0	1330	0	0	0	0	0	0	0	0	0	0
Дема	0	0	0	0	0	2064	0	0	0	0	0	1926	0	0	0	0
ИркутскСорт	0	0	0	0	0	0	0	0	4110	0	0	1847	0	0	0	0
