	Лужская	СПбСМ	Высоцк	Новороссийск	Тамань	КраснодарС	Владивосток	Находка	ПерваяРечка	Кемерово	Междуреченск	Инская	ПермьСорт	Рыбное	Дема	ИркутскСорт
Лужская	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
СПбСМ	3	0	4	0	0	0	0	0	0	0	0	0	3	3	0	0
Высоцк	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Новороссийск	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0
Тамань	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0
КраснодарС	0	0	0	3	3	0	0	0	0	0	0	0	0	3	4	0
Владивосток	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
Находка	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0
ПерваяРечка	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	7
Кемерово	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0
Междуреченск	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0
Инская	0	0	0	0	0	0	0	0	0	3	3	0	4	0	4	3
ПермьСорт	0	3	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Рыбное	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0
Дема	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0
ИркутскСорт	0	0	0	0	0	0	0	0	7	0	0	3	0	0	0	0
