	Лужская	СПбСМ	Высоцк	Новороссийск	Тамань	КраснодарС	Владивосток	Находка	ПерваяРечка	Кемерово	Междуреченск	Инская
Лужская	0	157	311	0	0	0	0	0	0	0	0	0
СПбСМ	157	0	179	0	0	2541	0	0	0	0	0	3612
Высоцк	311	179	0	0	0	0	0	0	0	0	0	0
Новороссийск	0	0	0	0	169	140	0	0	0	0	0	0
Тамань	0	0	0	169	0	211	0	0	0	0	0	0
КраснодарС	0	2541	0	140	211	0	0	0	0	0	0	3990
Владивосток	0	0	0	0	0	0	0	204	4	0	0	0
Находка	0	0	0	0	0	0	204	0	201	0	0	0
ПерваяРечка	0	0	0	0	0	0	4	201	0	0	0	5957
Кемерово	0	0	0	0	0	0	0	0	0	0	381	304
Междуреченск	0	0	0	0	0	0	0	0	0	381	0	496
Инская	0	3612	0	0	0	3990	0	0	5957	304	496	0
