	Лужская	СПбСМ	Высоцк	Новороссийск	Тамань	КраснодарС	Владивосток	Находка	ПерваяРечка	Кемерово	Междуреченск	Инская
Лужская	0	3406	5843	26837	27217	26258	65904	65904	65904	5843	34862	32068
СПбСМ	3406	0	3406	26258	26258	25859	64784	64786	64786	33185	34303	31509
Высоцк	5843	3406	0	27217	27217	26837	65904	65904	65904	33744	34862	32068
Новороссийск	26837	26258	21217	0	3406	2652	67022	68148	67022	35980	37098	34303
Тамань	27217	26258	27217	3406	0	4096	68148	68148	68148	35980	37098	34303
КраснодарС	26258	25859	26837	2652	4096	0	67022	67022	67022	34862	35980	33185
Владивосток	65904	64786	65904	67022	68148	67022	0	4096	43	43256	43526	44644
Находка	65904	64786	65904	68148	68148	67022	4096	0	4096	44644	43256	44644
ПерваяРечка	65904	64786	65904	67022	68148	67022	43	4095	0	43256	43256	44644
Кемерово	5843	33185	33744	35980	35980	34862	43526	44644	43256	0	6813	5843
Междуреченск	34862	34303	34862	37098	37098	35980	43526	43256	43256	6813	0	8753
Инская	32068	31509	32068	34303	34303	33185	44644	44644	44644	5843	8753	0
