	Лужская	СПбСМ	Высоцк	Новороссийск	Тамань	КраснодарС	Владивосток	Находка	ПерваяРечка	Кемерово	Междуреченск	Инская
Лужская	0	4	4	6	6	6	20	20	20	8	8	8
СПбСМ	4	0	4	6	6	6	20	20	20	8	8	8
Высоцк	4	4	0	6	6	6	20	20	20	8	8	8
Новороссийск	6	6	6	0	4	4	21	21	21	8	8	8
Тамань	6	6	6	4	0	4	21	21	21	8	8	8
КраснодарС	6	6	6	4	4	0	21	21	21	8	8	8
Владивосток	20	20	20	21	21	21	0	4	1	13	13	13
Находка	20	20	20	21	21	21	4	0	4	13	13	13
ПерваяРечка	20	20	20	21	21	21	1	4	0	13	13	13
Кемерово	8	8	8	8	8	8	13	13	13	0	4	4
Междуреченск	8	8	8	8	8	8	13	13	13	4	0	4
Инская	8	8	8	8	8	8	13	13	13	4	4	0
