;единая без перераспр.;разделенная без перераспр.;единая с перераспр.;разделенная с перераспр.
1;0.4332;0.4443;0.2906;0.2534
2;0.4148;0.4568;0.2588;0.2571
3;0.4351;0.4476;0.2772;0.2537
4;0.4218;0.4527;0.2953;0.2646
5;0.4263;0.4419;0.2803;0.2561
6;0.4264;0.4471;0.284;0.2661
7;0.4256;0.4415;0.2685;0.2525
8;0.4329;0.4443;0.2617;0.2606
9;0.4208;0.4539;0.2863;0.2515
10;0.4371;0.4434;0.2754;0.2481
11;0.4363;0.4403;0.2716;0.2497
12;0.4295;0.4479;0.273;0.2536
13;0.4182;0.4403;0.2678;0.253
14;0.4402;0.453;0.2674;0.2626
15;0.4224;0.4494;0.2632;0.2604
16;0.4291;0.4379;0.2638;0.2617
17;0.4337;0.4528;0.2671;0.2606
18;0.427;0.4417;0.287;0.2554
19;0.4297;0.4425;0.2765;0.2614
20;0.4486;0.4351;0.2905;0.2628
21;0.4486;0.4445;0.2756;0.2633
22;0.4156;0.446;0.2683;0.2558
23;0.4406;0.4399;0.2793;0.2563
24;0.4257;0.45;0.2598;0.2535
25;0.4207;0.4521;0.2774;0.2616
26;0.4264;0.4342;0.2622;0.2621
27;0.441;0.4462;0.2863;0.2547
28;0.442;0.437;0.261;0.259
29;0.4347;0.4401;0.2589;0.2686
30;0.4352;0.441;0.2743;0.2574
;;;;
;0.43064;0.444846667;0.273636667;0.257906667
